COUNTY,crop,xland,price,yld,revenue
Modoc,Other Deciduous Orchard,23.52404065,1756.155217,1.61,66512.10542
Modoc,Vineyards,11.97948202,1363.714388,2.075,33898.42837
Mono,Vineyards,13.74318799,422.6563743,10.81,62791.46334
Monterey,Other Deciduous Orchard,405.2034248,2103.912623,1.158333333,987493.7617
Monterey,Subtropical,1698.902564,3159.579112,4.75,25497131.01
Monterey,Vineyards,52090.08734,1557.694924,3.206,260136329.6
Napa,Other Deciduous Orchard,118.045802,1368.228396,1.7115,276430.5578
Napa,Subtropical,207.8059153,2270.065604,1.516,715147.3196
Napa,Vineyards,44729.90451,6285.014088,3.127,879087506.1
Nevada,Other Deciduous Orchard,54.17684331,1674.556109,1.905,172825.7223
Nevada,Subtropical,3.93680981,1435.29054,2.739,15476.62604
Nevada,Vineyards,447.096224,1596.808539,3.096666667,2210794.154
Orange,Subtropical,1536.950762,2479.772386,4.958333333,18897636.62
Placer,Almonds Pistachios,2730.924348,4755.705686,0.418,5428763.484
Placer,Other Deciduous Orchard,4057.807533,1853.191989,1.79,13460614.58
Placer,Subtropical,270.8223169,800.2415035,2.03,439948.2139
Placer,Vineyards,270.8750127,1881.419126,3.156,1608390.48
Plumas,Other Deciduous Orchard,9.32000796,1600.70437,1.8715,27920.11773
Riverside,Almonds Pistachios,6.07320167,6154.486349,0.28,10465.6823
Riverside,Other Deciduous Orchard,390.8739915,3342.027515,4.464,5831375.136
Riverside,Subtropical,32347.19596,2736.846205,4,354117202
Riverside,Vineyards,8812.126523,3279.596783,6.076666667,175617014.5
Sacramento,Almonds Pistachios,2697.071244,4881.950439,0.64,8426859.61
Sacramento,Other Deciduous Orchard,8849.3808,1868.726157,1.498,24772529.93
Sacramento,Subtropical,1078.589642,1578.408222,2.7708,4717161.645
Sacramento,Vineyards,36667.75441,687.691415,8.48,213832527.3
San Benito,Other Deciduous Orchard,2527.724037,2019.40333,0.51,2603292.112
San Benito,Subtropical,238.243611,1871.150141,10.612,4730718.879
San Benito,Vineyards,4502.783032,1734.7809,5.0025,39076238.36
San Bernardino,Almonds Pistachios,965.7405036,6154.486349,0.28,1664218.289
San Bernardino,Other Deciduous Orchard,622.440734,5292.563082,1.818,5989049.853
San Bernardino,Subtropical,3461.28179,898.8398176,8,24889103.14
San Bernardino,Vineyards,451.8493137,1797.596914,0.72,584814.9109
San Diego,Other Deciduous Orchard,284.6376686,2664.757108,1.2275,931046.7827
San Diego,Subtropical,24959.57298,3803.631135,2.875,272943900.6
San Diego,Vineyards,893.4116434,1958.071802,2.115,3699905.17
San Joaquin,Almonds Pistachios,91572.07621,4883.126599,1.218,544638494
San Joaquin,Other Deciduous Orchard,92255.09149,1769.387366,2.236,364993445
San Joaquin,Subtropical,4642.840213,933.3384959,3.58,15513362.57
San Joaquin,Vineyards,84121.52079,685.5908161,7.17,413514994.8
San Luis Obispo,Almonds Pistachios,2753.445775,5033.746915,1.156,16022332.44
San Luis Obispo,Other Deciduous Orchard,2322.077632,2917.995111,0.303333333,2055329.391
San Luis Obispo,Subtropical,7665.009478,3104.143312,4.074,96933854.94
San Luis Obispo,Vineyards,45785.43036,1997.397985,3.506,320629752.5
San Mateo,Other Deciduous Orchard,31.29063625,4455.939078,1.516,211374.62
San Mateo,Subtropical,9.94275414,1712.249684,2.533,43123.00185
San Mateo,Vineyards,158.7595692,2606.559925,3.899,1613469.874
Santa Barbara,Almonds Pistachios,744.5302521,5218.470112,1.174,4561352.611
Santa Barbara,Other Deciduous Orchard,544.955706,2275.425997,0.919666667,1140392.535
Santa Barbara,Subtropical,8887.248152,3314.99532,3.698,108947465.9
