region,crop_type,xland_base,xwater_base,revenue_base,xlandsc,xwatersc,revenuesc,shortage
Glenn,Vineyards,2.48784679,6.62202949,20236.46914,2.48784679,6.622029468,20236.46914,0
Humboldt,Alfalfa and pasture,36445.04893,111441.7164,7604179.734,36445.04902,111441.7141,7604179.753,0
Humboldt,Field and grain,2331.55182,5163.74777,2087912.979,2331.551827,5163.747749,2087912.985,0
Humboldt,Orchards,67.32384725,193.2531624,95496.67775,67.32384726,193.2531613,95496.67776,0
Humboldt,Vegetables,353.6302431,656.3834354,768991.1019,353.6302433,656.3834325,768991.1024,0
Humboldt,Vineyards,128.337117,287.9009411,549896.0668,128.337117,287.9009398,549896.0668,0
Imperial,Alfalfa and pasture,235851.5276,1678790.954,274815702.3,235851.5276,1678790.938,274815702.4,0
Imperial,Field and grain,94499.15139,374207.939,404239173.8,94499.15146,374207.9388,404239174,0
Imperial,Orchards,10371.67758,61721.34259,108555016.5,10371.67758,61721.34254,108555016.5,0
Imperial,Vegetables,71189.89797,122584.5247,597669742.9,71189.89798,122584.5246,597669743.1,0
Imperial,Vineyards,143.6369568,587.3311208,1540694.352,143.6369568,587.3311203,1540694.353,0
Inyo,Alfalfa and pasture,13554.75215,83129.95485,9446299.674,13554.75224,83129.95277,9446299.729,0
Inyo,Field and grain,66.25361322,112.2687585,50323.33867,66.25361552,112.2687611,50323.34042,0
Inyo,Orchards,27.53441111,159.5485522,297069.449,27.53441111,159.5485509,297069.4491,0
Kern,Alfalfa and pasture,44565.07783,204423.9051,98831537.05,44565.07776,204423.904,98831536.9,0
Kern,Field and grain,78351.39064,154642.6832,258304310.1,78351.39082,154642.6828,258304310.2,0
Kern,Orchards,452649.0743,1693457.853,3404368496,452649.0743,1693457.849,3404368496,0
Kern,Vegetables,69713.07172,116811.1936,826588168.8,69713.07174,116811.1933,826588168.9,0
Kern,Vineyards,85056.36119,340978.6541,834539464.2,85056.36119,340978.653,834539464.2,0
Kings,Alfalfa and pasture,28170.79948,127879.1123,64476864.51,28170.79939,127879.1112,64476864.29,0
Kings,Field and grain,197547.9391,520976.5534,438058314.7,197547.9394,520976.5508,438058314.8,0
Kings,Orchards,122186.019,451861.8293,638898467.1,122186.019,451861.827,638898467,0
Kings,Vegetables,36134.11076,73719.02819,324647550.1,36134.11078,73719.02786,324647550.2,0
Kings,Vineyards,6035.201637,24194.61629,34322097.79,6035.201637,24194.61617,34322097.79,0
Lake,Alfalfa and pasture,4263.452077,16907.11611,2569643.504,4263.452086,16907.11579,2569643.51,0
Lake,Field and grain,1845.040641,1481.50267,1135042.161,1845.040711,1481.502706,1135042.204,0
Lake,Orchards,6788.328216,22563.55056,3351496.583,6788.328236,22563.55004,3351496.593,0
Lake,Rice,311.6135987,1412.973777,797552.6812,311.6135986,1412.973756,797552.681,0
Lake,Vegetables,71.26432411,187.4131511,150433.0237,71.26432424,187.4131491,150433.024,0
Lake,Vineyards,12239.99548,32579.82419,105559453.5,12239.99548,32579.82383,105559453.5,0
Lassen,Alfalfa and pasture,78393.31894,278685.1858,40547140.83,78393.31899,278685.1795,40547140.87,0
Lassen,Field and grain,13937.05855,15456.26279,9550561.598,13937.05859,15456.2628,9550561.628,0
Lassen,Rice,1612.289111,7228.135024,4190348.356,1612.289111,7228.135004,4190348.356,0
Lassen,Vegetables,252.0770441,587.90433,562511.1982,252.0770443,587.9043288,562511.1986,0
Los Angeles,Alfalfa and pasture,6006.697414,34922.04581,15308408.15,6006.697374,34922.04503,15308408.06,0
Los Angeles,Field and grain,6342.971391,10728.38247,5425860.8,6342.971529,10728.38253,5425860.899,0
Los Angeles,Orchards,571.2892756,2343.632522,4744949.146,571.2892756,2343.632491,4744949.146,0
Los Angeles,Vegetables,3833.639369,13433.55558,47723951.75,3833.639371,13433.5554,47723951.78,0
Los Angeles,Vineyards,323.7676266,973.0553689,3340660.495,323.7676266,973.0553566,3340660.496,0
Madera,Alfalfa and pasture,10164.89452,42892.80801,19636373.17,10164.89451,42892.80771,19636373.16,0
Madera,Field and grain,27634.60505,52192.32145,42998468.14,27634.60515,52192.32124,42998468.23,0
Madera,Orchards,234715.9951,872979.3309,1199345759,234715.9951,872979.3264,1199345759,0
Madera,Vegetables,4131.040517,9703.258899,28408494.85,4131.040522,9703.258862,28408494.87,0
Madera,Vineyards,57576.85363,178400.9894,259229368.1,57576.85363,178400.9885,259229368.1,0
Marin,Alfalfa and pasture,7641.634487,24625.07336,9669063.496,7641.63445,24625.07276,9669063.449,0
Marin,Field and grain,4633.718937,3023.014294,1943132.855,4633.719074,3023.014322,1943132.912,0
Marin,Orchards,76.43378917,191.4113778,469484.0924,76.43378916,191.4113747,469484.0923,0
Marin,Vegetables,134.1170471,190.5063147,1584875.063,134.1170471,190.5063116,1584875.063,0
Marin,Vineyards,170.1696844,427.4847139,1092083.003,170.1696844,427.4847069,1092083.003,0
Mariposa,Alfalfa and pasture,81.47912833,374.8192307,60456.62978,81.47912505,374.819145,60456.62735,0
Mariposa,Field and grain,29.4045766,13.72184683,21693.32335,29.40458157,13.72184771,21693.32702,0
Mariposa,Orchards,56.90121918,187.4499564,198141.1098,56.90121929,187.4499357,198141.1101,0
Mariposa,Vineyards,61.79857201,191.4819184,50198.00491,61.7985725,191.4818898,50198.00531,0
Mendocino,Alfalfa and pasture,19710.75792,60455.3009,1552749.617,19710.75798,60455.296,1552749.622,0
Mendocino,Field and grain,4768.097439,5850.757822,3180446.3,4768.097479,5850.757834,3180446.327,0
Mendocino,Orchards,1672.729453,4736.504401,2572712.333,1672.729453,4736.504375,2572712.334,0
Mendocino,Vegetables,219.5862892,407.5805327,477504.1326,219.5862893,407.5805309,477504.1329,0
Mendocino,Vineyards,17408.34417,39052.44864,142318797.5,17408.34417,39052.44846,142318797.5,0
Merced,Alfalfa and pasture,67455.81277,289372.3491,108024442.5,67455.81269,289372.3477,108024442.4,0
Merced,Field and grain,165339.0669,363101.3324,283832944.7,165339.0671,363101.3313,283832944.9,0
Merced,Orchards,194494.264,724829.6124,925341630.7,194494.264,724829.6101,925341630.7,0
Merced,Rice,1462.320105,7068.737814,3983054.862,1462.320105,7068.737786,3983054.861,0
Merced,Vegetables,52913.95304,140207.9096,534468003,52913.95305,140207.9092,534468003.1,0
Merced,Vineyards,13065.67275,40483.78469,76261293.59,13065.67275,40483.78457,76261293.59,0
Modoc,Alfalfa and pasture,142320.9292,500260.2031,239600307.5,142320.9291,500260.2007,239600307.4,0
Modoc,Field and grain,27043.29414,31619.20471,21521785.26,27043.29429,31619.20472,21521785.37,0
Modoc,Orchards,23.52404065,78.28192401,66512.10541,23.52404065,78.28192366,66512.1054,0
Modoc,Rice,2348.147321,10647.38703,5816493.02,2348.14732,10647.38697,5816493.017,0
Modoc,Vegetables,4249.156657,10048.30355,20716420.74,4249.156658,10048.30351,20716420.74,0
Modoc,Vineyards,11.97948202,26.87378545,33898.42838,11.97948202,26.87378534,33898.42838,0
Mono,Alfalfa and pasture,41978.88771,178461.1651,32717594.31,41978.8878,178461.1633,32717594.33,0
Mono,Field and grain,536.3885823,825.4528204,395687.3524,536.38859,825.4528261,395687.3581,0
Mono,Vineyards,13.74318799,47.22416791,62791.46334,13.74318799,47.22416763,62791.46334,0
Monterey,Alfalfa and pasture,2967.28172,12268.65559,571309.1409,2967.281519,12268.65377,571309.1166,0
Monterey,Field and grain,13564.38516,11558.78241,3401774.241,13564.38543,11558.78256,3401774.308,0
Monterey,Orchards,2104.105989,5538.002359,26484624.77,2104.105989,5538.00233,26484624.77,0
Monterey,Vegetables,148628.8891,163736.3574,2721491774,148628.8891,163736.3566,2721491774,0
Monterey,Vineyards,52090.08734,127994.2198,260136329.6,52090.08734,127994.2191,260136329.6,0
Napa,Alfalfa and pasture,851.9619408,3065.150016,616463.2661,851.9619471,3065.149993,616463.2706,0
Napa,Field and grain,1303.101757,599.6567053,514427.1329,1303.101848,599.6567404,514427.1687,0
Napa,Orchards,325.8517173,893.3298869,991577.8777,325.8517176,893.3298782,991577.8784,0
Napa,Vegetables,23.45711765,34.14110461,277195.1934,23.45711766,34.14110431,277195.1936,0
Napa,Vineyards,44729.90451,113094.1674,879087506.2,44729.90451,113094.1664,879087506.2,0
Nevada,Alfalfa and pasture,3401.132977,13487.50945,3607662.002,3401.133011,13487.50913,3607662.038,0
Nevada,Field and grain,56.82569365,44.83903185,38225.73535,56.82569943,44.83903514,38225.73924,0
Nevada,Orchards,58.11365312,191.9904508,188302.3483,58.1136532,191.9904459,188302.3486,0
Nevada,Vegetables,82.80630109,220.4498107,173482.3927,82.80630165,220.4498061,173482.3938,0
Nevada,Vineyards,447.096224,1190.058967,2210794.155,447.0962244,1190.058937,2210794.157,0
Orange,Alfalfa and pasture,6.93670503,39.29595966,77441.97037,6.936705009,39.29595752,77441.97013,0
Orange,Field and grain,808.4191514,2140.463525,905619.6472,808.4191799,2140.46342,905619.6519,0
Orange,Orchards,1536.950762,5037.6517,18897636.62,1536.950762,5037.651446,18897636.62,0
Orange,Vegetables,1228.833191,2204.007018,6661159.285,1228.833198,2204.006881,6661159.312,0
Placer,Alfalfa and pasture,11105.90815,43854.04837,9310138.462,11105.90814,43854.0477,9310138.453,0
Placer,Field and grain,5089.507961,4441.829575,3651728.84,5089.508078,4441.82962,3651728.92,0
Placer,Orchards,7059.554198,24177.14116,19329326.28,7059.554198,24177.14091,19329326.28,0
Placer,Rice,12340.31508,55955.65047,30259953.55,12340.31507,55955.64976,30259953.54,0
Placer,Vegetables,379.6313892,1008.719719,796296.9925,379.6313896,1008.71971,796296.9932,0
Placer,Vineyards,270.8750127,721.001924,1608390.48,270.8750127,721.0019172,1608390.48,0
Plumas,Alfalfa and pasture,38632.69594,151257.3279,40504555.82,38632.69598,151257.3262,40504555.86,0
